Semester,Class,Class Number,Section Number,Title,Author(s),Gender,Number Students
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,The Crying of Lot 49,['Thomas Pynchon'],male,60
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,Mrs. Dalloway,['Virginia Woolf'],male,60
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,Things Fall Apart,['Chinua Achebe'],male,102
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,"The Norton Anthology of Modern and Contemporary Poetry, Volume I: Modern Poetry",Could not find author,,102
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,The Sound and the Fury,['William Faulkner'],male,102
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,The Turn of the Screw and Other Tales,['Harold Bloom'],male,102
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,Dubliners,['Mary Power'],unknown,102
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,The Crying of Lot 49,['Thomas Pynchon'],male,102
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,The Picture of Dorian Gray,['Oscar Wilde'],male,102
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,2,Mrs. Dalloway,['Virginia Woolf'],male,102
Spring 2012,Sophomore Seminar:  Woody Allen,English 84,1,The Insanity Defense: The Complete Prose,['Woody Allen'],male,19
Spring 2012,History of the English Language,English 101,1,"The English Language:  A Linguistic History, 2nd ed.","['Laurel J. Brinton', 'Leslie K. Arnovick']",Multiple Authors,25
Spring 2012,The English Bible as Literature,English C107,1,Genesis,Could not find author,,136
Spring 2012,The English Bible as Literature,English C107,1,Oxford Dictionary of the Bible (paperback),['W. R. F. Browning'],unknown,136
Spring 2012,Shakespeare:  Selected Plays,English 117S,1,The Riverside Shakespeare (2nd ed.),['William Shakespeare'],male,114
Spring 2012,Shakespeare:  Selected Plays,English 117S,1,The Shakespearean Stage (3rd ed.),['Andrew Gurr'],male,114
Spring 2012,Milton,English 118,1,"The Complete Poetry and Essential Prose of John Milton (ed. Kerrigan, Rumrich, and Fallon)",['John Milton'],male,56
Spring 2012,Augustan Age: Literature of the Restoration and the Early 18th Century,English 119,1,"Oroonoko, The Rover, and Other Works",['Aphra Behn'],female,50
Spring 2012,Augustan Age: Literature of the Restoration and the Early 18th Century,English 119,1,Grace Abounding,['John Bunyan'],male,50
Spring 2012,Augustan Age: Literature of the Restoration and the Early 18th Century,English 119,1,Robinson Crusoe,['Daniel Defoe'],male,50
Spring 2012,Augustan Age: Literature of the Restoration and the Early 18th Century,English 119,1,Restoration and Eighteenth-Century Comedy,['Scott McMillin'],male,50
Spring 2012,Augustan Age: Literature of the Restoration and the Early 18th Century,English 119,1,Poetry and Prose of Alexander Pope,['Alexander Pope'],male,50
Spring 2012,Augustan Age: Literature of the Restoration and the Early 18th Century,English 119,1,The Writings of Jonathan Swift,['Jonathan Swift'],male,50
Spring 2012,"The European Novel:  Tolstoy, Dostoevsky, and the English Novel",English 125C,1,Pride and Prejudice,['Jane Austen'],female,55
Spring 2012,"The European Novel:  Tolstoy, Dostoevsky, and the English Novel",English 125C,1,"The Idiot, trans. Constance Garnett",['Fyodor Dostoyevsky'],male,55
Spring 2012,"The European Novel:  Tolstoy, Dostoevsky, and the English Novel",English 125C,1,"Anna Karenina, the Maude translation","['graf Leo Tolstoy', 'Aylmer Maude', 'George Gibian']",Multiple Authors,55
Spring 2012,"The European Novel:  Tolstoy, Dostoevsky, and the English Novel",English 125C,1,Mrs. Dalloway,['Virginia Woolf'],male,55
Spring 2012,American Literature: 1900-1945,English 130D,1,My Antonia,['Willa Cather'],female,56
